episode_id,instance_seed,map_seed,target_seed,observation_seed,start_seed,start_x,start_y,sensor_range,resolution,action_depth,num_policies,target_x,target_y,success,steps,task_cost,false_finds,collisions,cumulative_inference_ms,final_x,final_y,final_target_distance
map2029167940-target1469265225-obs1926751965-g2-T2,7,2029167940,1469265225,1926751965,1342382291,9,10,6.0,2,2,25,11,3,False,50,150.0,0,0,680.7131999999999,8,11,8.54400374531753
map2029167940-target1469265225-obs1926751965-g2-T3,7,2029167940,1469265225,1926751965,1342382291,9,10,6.0,2,3,125,11,3,True,33,33.0,0,0,3437.3860999999997,8,5,3.605551275463989
map2029167940-target1469265225-obs1926751965-g5-T1,7,2029167940,1469265225,1926751965,1342382291,9,10,6.0,5,1,5,11,3,False,50,150.0,0,0,778.9901,13,2,2.23606797749979
map2029167940-target1469265225-obs1926751965-g5-T2,7,2029167940,1469265225,1926751965,1342382291,9,10,6.0,5,2,25,11,3,True,9,14.0,1,0,194.8344,9,7,4.47213595499958
map2029167940-target1469265225-obs1926751965-g5-T3,7,2029167940,1469265225,1926751965,1342382291,9,10,6.0,5,3,125,11,3,True,31,36.0,1,0,21105.2943,11,3,0.0
map2029167940-target1469265225-obs1926751965-g10-T1,7,2029167940,1469265225,1926751965,1342382291,9,10,6.0,10,1,5,11,3,True,3,3.0,0,0,162.3359,9,8,5.385164807134504
map2029167940-target1469265225-obs1926751965-g10-T2,7,2029167940,1469265225,1926751965,1342382291,9,10,6.0,10,2,25,11,3,True,3,3.0,0,0,203.2855,9,8,5.385164807134504
map2029167940-target1469265225-obs1926751965-g10-T3,7,2029167940,1469265225,1926751965,1342382291,9,10,6.0,10,3,125,11,3,True,3,3.0,0,0,2736.0899,9,8,5.385164807134504
map2029167940-target1469265225-obs1926751965-g20-T1,7,2029167940,1469265225,1926751965,1342382291,9,10,6.0,20,1,5,11,3,True,3,3.0,0,0,806.6142,9,8,5.385164807134504
map2029167940-target1469265225-obs1926751965-g20-T2,7,2029167940,1469265225,1926751965,1342382291,9,10,6.0,20,2,25,11,3,True,27,27.0,0,0,10210.847199999998,11,0,3.0
map2029167940-target1469265225-obs1926751965-g20-T3,7,2029167940,1469265225,1926751965,1342382291,9,10,6.0,20,3,125,11,3,True,27,27.0,0,0,15835.268600000001,11,0,3.0
map1545220601-target503597500-obs2120160876-g2-T1,8,1545220601,503597500,2120160876,702167616,8,13,5.0,2,1,5,10,14,False,50,160.5,0,21,289.3945999999999,8,0,14.142135623730951
map1545220601-target503597500-obs2120160876-g2-T2,8,1545220601,503597500,2120160876,702167616,8,13,5.0,2,2,25,10,14,False,50,160.5,0,21,727.8693999999997,8,0,14.142135623730951
